"favorite_count","retweet_count","hashtags_cant","media_url_cant","mentions_cant","reply_to_status","followers_count","friends_count","statuses_count","favourites_count","account_lang","source","popular"
1,0,3,1,1,0,274,186,8517,1704,"es","Twitter Web Client","no"
0,0,3,0,1,0,274,186,8517,1704,"es","Hootsuite Inc.","no"
0,0,3,0,1,0,274,186,8517,1704,"es","Hootsuite Inc.","no"
0,0,0,0,0,0,396,373,6232,839,"es","Twitter for Android","no"
0,1,0,0,0,0,378,292,4055,4660,"es","Twitter for Android","no"
0,0,0,0,1,1,739,664,20796,18709,"es","Twitter for Android","no"
0,0,0,0,1,1,418,505,1852,4441,"es","Twitter for Android","no"
0,0,0,0,0,0,832,562,32674,672,"es","Twitter for iPhone","no"
0,0,0,0,0,0,557,427,19477,60,"es","Twitter for Android","no"
1,0,0,0,0,0,2362,1934,19439,4484,"es","Twitter Lite","no"
0,0,0,0,0,0,123,245,5809,2409,"es","Twitter for Android","no"
0,0,0,0,0,0,129,259,868,359,"es","Twitter for Android","no"
0,0,0,0,0,0,1559,1095,23412,35150,"es","Twitter for Android","no"
0,0,0,0,0,0,1559,1095,23412,35150,"es","Twitter for Android","no"
0,0,0,0,1,1,1559,1095,23412,35150,"es","Twitter for Android","no"
0,0,0,0,1,1,1559,1095,23412,35150,"es","Twitter for Android","no"
0,0,0,0,0,0,571,657,7789,2642,"es","Twitter for Android","no"
0,0,0,0,0,0,413,411,61939,7373,"es","Twitter for Android","no"
0,0,0,0,0,0,260,392,7331,5434,"es","Twitter for Android","no"
0,0,0,0,0,0,508,171,11427,2524,"es","Twitter for Android","no"
0,0,0,0,0,0,82,69,2888,1346,"es","Twitter Lite","no"
1,0,0,0,0,0,313,782,3858,6297,"es","Twitter for Android","no"
0,0,0,0,0,0,246,183,5725,941,"es","Twitter for Android","no"
0,0,1,0,0,0,123740,48392,968241,4306,"es","Twitter Web Client","si"
0,0,0,0,0,0,141,204,5476,1590,"es","Twitter for Android","no"
0,0,1,1,0,0,20851,18225,1151437,0,"es","Tweet Old Post","no"
0,0,0,0,0,0,2039,1960,61129,60036,"es","Twitter for Android","no"
0,0,0,0,0,0,409,400,15680,540,"es","Twitter for iPhone","no"
0,0,0,0,0,0,315,276,12397,4413,"es","Twitter for Android","no"
1,0,0,0,0,0,177,196,1531,63,"es","Twitter for Android","no"
0,0,0,0,0,0,2442,1304,124997,23967,"es","Twitter for iPhone","no"
0,1,0,0,0,0,851,245,12926,20171,"es","Twitter Web Client","no"
0,0,0,0,1,1,17,145,167,1293,"es","Twitter for Android","no"
0,0,0,0,0,0,278,250,7402,6232,"es","Twitter for Android","no"
0,0,0,0,0,0,398,199,6965,3273,"es","Twitter for Android","no"
0,0,0,0,0,0,534,305,8850,2388,"es","Twitter for Android","no"
12,0,0,0,0,0,2838,4997,18043,33456,"es","Twitter for Android","no"
1,0,0,0,0,0,373,208,1127,1259,"es","Twitter for Android","no"
0,0,0,1,0,0,182,259,4735,2806,"es","Twitter for Android","no"
0,0,0,0,1,1,743,444,57069,13034,"es","Twitter for iPhone","no"
0,0,0,0,0,0,967,732,28796,10894,"es","Twitter for Android","no"
2,1,0,0,0,0,389,179,9217,3933,"es","Twitter for iPhone","no"
0,0,0,0,0,0,574,66,10366,1950,"es","Twitter for Android","no"
0,0,0,0,0,0,1211,416,37920,2465,"es","Twitter for iPhone","no"
1,0,0,0,0,0,1194,453,34298,28076,"pt","Twitter for Android","no"
0,0,0,0,0,0,1348,98,26543,2999,"es","Twitter for Android","no"
0,0,0,0,0,0,224,256,8234,2288,"es","Twitter for Android","no"
0,0,0,0,0,0,855,350,54748,9891,"es","Twitter Lite","no"
0,0,0,0,0,0,516,290,29051,6472,"es","Twitter for Android","no"
0,0,0,0,1,1,1179,650,28034,3748,"es","Twitter for Android","no"
0,0,0,0,0,0,147,129,17849,38,"es","Twitter Web Client","no"
0,0,0,0,0,0,63271,730,4297,27629,"es","Twitter for Android","no"
0,0,0,0,0,0,193,183,2083,110,"es","Twitter Lite","no"
0,0,0,0,0,0,1046,1110,11900,4419,"es","Twitter for Android","no"
0,0,0,0,0,0,991,713,61555,3624,"es","Twitter for Android","no"
0,0,0,0,0,0,591,303,20856,37596,"es","Twitter for Android","no"
0,0,0,0,0,0,133,199,8272,5228,"es","Twitter for Android","no"
